id,name,entity_type,category,purpose,artifact_path,status,selected,priority,dependencies,output_type,output_path,version,owner,created_at,source_spec_id,content_hash,config
SCRIPT-INT,Integrity Check,script,governance,Validate registry ↔ filesystem and hashes,/scripts/integrity_check.py,active,yes,P0,"LIB-PATHS,LIB-MERKLE",extension,,2.0.0,system,2026-01-30,,fd63b1f803cdb5a2f85eaebf283a560bafb5b15416ce3e0739a322bda34fa175,
SCRIPT-PKG-SYNC,Package Sync,script,package-mgmt,Compile packages registry to JSON,/scripts/package_sync.py,active,yes,P0,LIB-PATHS,extension,,2.0.0,system,2026-01-30,,5fc6b646b8948595d4973a5ee446f03e88cacfe1d20039a1e246979007d16eee,
SCRIPT-PKG-VALIDATE,Validate Packages,script,package-mgmt,Validate packages registry schema and deps,/scripts/validate_packages.py,active,yes,P0,LIB-PATHS,extension,,1.1.0,system,2026-01-31,,c2a73b0e12a33f926e6c3891925337088b260b073bc616d04971d42fe58d2c46,
SCRIPT-PKG-PACK,Package Pack,script,package-mgmt,Create tar.gz packages and update registry,/scripts/package_pack.py,active,yes,P0,"LIB-PACKAGES,LIB-PATHS,LIB-PROVENANCE",extension,,2.2.0,system,2026-01-31,,68d133b0e41f2aa95282d82fca36efe3e51bbda86d9803d4f57020333721f756,
SCRIPT-PKG-INSTALL,Package Install,script,package-mgmt,Install tar.gz packages with hash verification,/scripts/package_install.py,active,yes,P0,"LIB-PACKAGES,LIB-PATHS,LIB-PROVENANCE",extension,,2.3.0,system,2026-01-31,,308a2144fc5c84c9ea3074bd1d1c8ef3726cd17c59643bc2e3192e3d837782ff,
LIB-PATHS,Path Utilities,lib,infrastructure,Resolve repo and control plane roots,/lib/paths.py,active,yes,P0,,extension,,1.0.0,system,2026-01-30,,73930b79dfd308e5431d72dc7c575eecce8b591295a422a8785d9d3e9f90e108,
LIB-MERKLE,Merkle Utilities,lib,infrastructure,Hashing + Merkle roots,/lib/merkle.py,active,yes,P0,LIB-PATHS,extension,,1.0.0,system,2026-01-30,,3dbaaa28cc4c4abab37b9f1adbfe9e7c7625bf54b7b2ab992d050f2bc2b82a63,
LIB-INTEGRITY,Integrity Library,lib,governance,Three-check integrity validation,/lib/integrity.py,active,yes,P0,LIB-MERKLE,extension,,1.0.0,system,2026-01-30,,6fec3da36761c2a9d51b9562d9088c59dcce304eadad648fc0f5869be385a616,
LIB-LEDGER,Ledger Client,lib,infrastructure,Append-only ledger with hash chaining,/lib/ledger_client.py,active,yes,P0,LIB-MERKLE,extension,,1.1.0,system,2026-01-31,,1c2dff8c537ec652877c8e92a86ed1efb670f66b05cb855a2b4a70f9013e847d,
LIB-REGISTRY,Registry Utilities,lib,infrastructure,Read/write registry helpers,/lib/registry.py,active,yes,P0,LIB-PATHS,extension,,1.0.0,system,2026-01-30,,81d0a4b5902d77ecf83b431ff1dfacf50b2feeed7e2d8cb5251cb3450cd20f9a,
LIB-RESOLVE,Path Resolver,lib,infrastructure,Artifact path resolution,/lib/resolve.py,active,yes,P0,LIB-PATHS,extension,,1.0.0,system,2026-01-30,,3ae724262c9e4a5c87d2c721b7839d3f0b114ad53cb5ba1c390f59469e018364,
LIB-GATE,Gate Operations,lib,governance,Create/install/update/remove artifacts with logging,/lib/gate_operations.py,active,yes,P0,"LIB-LEDGER,LIB-INTEGRITY,LIB-PATHS,LIB-PRISTINE",extension,,1.1.0,system,2026-01-31,,fe8774ec68c13154ed1bdd77d719f6e30a618a8aae3be2196497706e83705e5c,
LIB-ID,ID Allocator,lib,governance,Allocate IDs by entity type prefix,/lib/id_allocator.py,active,yes,P0,LIB-PATHS,extension,,1.0.0,system,2026-01-30,,8b126651bde0ef01817fb8c38bae274574dcde16ea60f02be6b79863eaf374de,
